序号,类群,科中文名,药典/地方,科序,科拉丁名,科特征记忆模块,未知科检索模块
1,3,睡莲科,药典,4,Nymphaeaceae,多年生水生草本。根状茎平卧。浮水叶，常盾状或心形。花两性，辐射对称，浮水或挺水。重被花或单被花，萼片、花瓣少数至多数。多数离生雄蕊。离生雌蕊或复雌蕊，心皮2至多数。聚合果。坚果。,多年生草本。水生草本。根状茎。单叶，盾状着生，近圆形。两性花。辐射对称。重被花。离生萼。离瓣花。多数离生雄蕊。离生雌蕊。坚果。
2,3,五味子科,拆科,7,Schisandraceae,藤本。单叶，互生，常有透明的腺点。单性花，单生于叶腋内。单被花，花被片数轮排列。离生雄蕊4－80枚，一部或全部合生成一肉质的雄蕊柱。离生心皮12－300枚。聚合浆果。,藤本。单叶。叶互生，常有透明腺点。单性花，单被花数轮排列，具离生雄蕊。雄蕊柱。多数离生雌蕊。聚合浆果。
3,3,三白草科,药典,10,Saururaceae,多年生草本。单叶，互生。穗状花序或总状花序，具花瓣状总苞片；两性花；无被花；定数离生雄蕊；离生雌蕊或复雌蕊，心皮3－4枚，复雌蕊则为侧膜胎座。分果爿或蒴果。,草本。叶互生。两性花。无被花。穗状花序。总状花序。定数离生雄蕊。离生雌蕊。复雌蕊。侧膜胎座。蒴果。
4,3,胡椒科,药典,11,Piperaceae,草本、灌木或攀援藤本，稀为乔木，常芳香。单叶，互生，稀对生或轮生，全缘。穗状花序，单性花或花两性，辐射对称，无被花，具小苞片；离生雄蕊1-10枚；子房1室，有胚珠1颗，柱头1一5，无或有极短的花柱。干燥或肉质、不开裂的小浆果，排成稠密、国柱状的穗状体。,草本。灌木。藤本。乔木。芳香。叶互生。叶对生。叶轮生。单叶。全缘。单性花。两性花。辐射对称。无被花。穗状花序。离生雄蕊。浆果。
5,3,马兜铃科,药典,12,Aristolochiaceae,草本或藤状灌木。单叶，互生，常心形，全缘或3－5裂。花两性，辐射对称或左右对称，常有腐肉味；单被花，花被花瓣状、管状，3裂，暗紫色或黄绿色。离生雄蕊6至多数，或与花柱结合；雌蕊子房下位或半下位，4－6室；中轴胎座上。蒴果。,草本。藤状灌木。叶互生。全缘。缺刻。两性花。辐射对称。左右对称。单被花。离生雄蕊。子房下位。子房半下位。中轴胎座。蒴果。
6,3,肉豆蔻科,药典,13,Myristicaceae,乔木或灌木，芳香。树皮和髓心周围有黄色或肉红色的浆汁。单叶，互生，全缘，常有透明的斑点。腋生的花束或伞形花序，单性花，雌雄异株；单被花，花被常3裂；雄蕊2－40枚，花丝合生成一柱；子房上位。肉质果，常开裂为2果瓣；种子具肉质、撕裂状或全缘的假种皮，有胚乳种子。,乔木。灌木。芳香。浆汁。单叶。叶互生。全缘。单性花。雌雄异株。雌雄同株。总状花序。圆锥花序。头状花序。单被花。多数离生雄蕊。单体雄蕊。子房上位。核果。假种皮。有胚乳种子。
7,3,木兰科*,药典,14,Magnoliaceae,灌木至乔木。单叶，互生，常全缘；托叶大，包围着叶芽，早落留下托叶环。单生花，顶生或腋生；花两性，少单性花；单被花，数轮排列，花被片3基数；多数离生雄蕊与离生雌蕊，螺旋状排列于延长的花托上。聚果蓇葖果，聚合浆果。,灌木。乔木。单叶。叶互生。全缘。缺刻。托叶。托叶早落。单生花。两性花。单性花。单被花。多数离生雄蕊。离生雌蕊。聚合果。聚果。蓇葖果。聚合浆果。
8,3,樟科*,药典,25,Lauraceae,常绿或落叶的乔木或灌木，无根藤属（Cassytha）为缠绕寄生草本，芳香。单叶，互生、对生、近对生或轮生，常革质、全缘，具羽状脉、三出脉或离基三出脉。腋生或近顶生的圆锥花序、总状花序、近伞形花序或从生花束；两性花或单性花，辐射对称，单被 花，花被片常3基数少2基数，排成2轮，基部合生成的花被筒或在花后增大变成杯状或盘状的果托；雄蕊常9枚，轮状排列着生在花被筒的喉部；雌蕊多子房上位。浆果状核果，无胚乳种子。,乔木。灌木。缠绕茎。寄生草本。芳香。粘液。叶互生。叶对生。近对生。叶轮生。全缘。缺刻。羽状脉。三出脉。离基三出脉。圆锥花序。总状花序。近伞形花序。两性花。单性花。辐射对称。单被花。离生雄蕊。退化雄蕊。子房上位。子房下位。浆果。状核果。无胚乳种子。
9,3,金粟兰科,药典,26,Chloranthaceae,草本或灌木，稀为乔木。单叶，对生；具托叶。穗状花序、头状花序或圆锥花序；两性花或单性花；无被花，或有时在雌花中有浅杯状而具3齿的花被；合生雄蕊1－3枚；雌蕊子房上位。核果。,草本。灌木。乔木。叶对生。单叶。托叶。两性花。单性花。穗状花序。头状花序。圆锥花序。无被花。单被花。核果。
10,3,天南星科*,药典,28,Araceae,草本，具块茎或伸长的根茎，有时茎变厚而木质，直立、平卧或用小根攀附于他物上，少数浮水，常有乳状液汁。叶通常基生，如茎生则为互生，呈2行或螺旋状排列，形状各式，剑形而有平行脉至箭形而有网脉，全缘或分裂。花序为一肉穗花序，外有佛焰苞包围。花两性或单性，辐射对称。花被缺或为4－8个鳞片状体。雄蕊1至多数，分离或合生成雄蕊柱，退化雄蕊常存在。子房1，由1至数心皮合成，每室有胚珠1至数颗。果浆果状，密集于肉穗花序上。,草本。块茎。根状茎。浮水植物。乳状液汁。叶基生。叶互生。平行脉。网状脉。全缘。缺刻。肉穗花序。佛焰花序。两性花。单性花。辐射对称。 无被花。雄蕊柱。退化雄蕊。子房上位。浆果。
